"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
18086_3,281,"7","",3,"","",""
18087_3,281,"7","",3,"","",""
18088_3,281,"7","",3,"","",""
18090_3,281,"704","",3,"","",""
18092_3,281,"711","",3,"","",""
18093_3,281,"712","",3,"","",""
18095_3,281,"72","",3,"","",""
18096_3,281,"73","",3,"","",""
18099_3,281,"77","",3,"","",""
18101_3,281,"7N","",3,"","",""
18102_3,281,"8","",3,"","",""
18104_3,281,"8","",3,"","",""
18105_3,281,"8","",3,"","",""
18108_3,281,"801","",3,"","",""
18109_3,281,"802","",3,"","",""
18110_3,281,"803","",3,"","",""
18111_3,281,"804","",3,"","",""
18112_3,281,"805","",3,"","",""
18113_3,281,"806","",3,"","",""
18114_3,281,"81","",3,"","",""
18137_3,281,"8A","",3,"","",""
18138_3,281,"8N","",3,"","",""
18139_3,281,"9","",3,"","",""
18140_3,281,"9","",3,"","",""
18141_3,281,"9","",3,"","",""
18148_3,281,"914X","",3,"","",""
18149_3,281,"918X","",3,"","",""
18153_3,281,"928X","",3,"","",""
18154_2,281,"93","",2,"","",""
18155_3,281,"952X","",3,"","",""
18171_3,281,"S7","",3,"","",""
18172_3,281,"S8","",3,"","",""
18174_3,281,"S9","",3,"","",""
18533_3,281,"100","",3,"","",""
18534_3,281,"302","",3,"","",""
18535_3,281,"319","",3,"","",""
18536_3,281,"401","",3,"","",""
18537_3,281,"402","",3,"","",""
18538_3,281,"403","",3,"","",""
18539_3,281,"404","",3,"","",""
18543_3,281,"411","",3,"","",""
18544_3,281,"412","",3,"","",""
18545_3,281,"421","",3,"","",""
18546_3,281,"422","",3,"","",""
18547_3,281,"443","",3,"","",""
18548_3,281,"444","",3,"","",""
18823_3,366,"925X","",3,"","",""
18838_3,281,"40","",3,"","",""
18840_3,281,"420","",3,"","",""
18841_3,281,"423","",3,"","",""
18842_3,281,"450","",3,"","",""
18843_3,281,"451","",3,"","",""
18858_3,281,"10","",3,"","",""
18918_3,281,"11","",3,"","",""
18919_3,281,"12","",3,"","",""
18920_3,281,"1A","",3,"","",""
18921_3,281,"1B","",3,"","",""
18922_3,281,"36","",3,"","",""
18931_3,281,"851","",3,"","",""
